Id,Label,POS_Category,Total_Frequency
présence,présence,NOUN,23
pâte,pâte,NOUN,23
redingote,redingote,NOUN,23
savant,savant,NOUN,23
souffrir,souffrir,VERB,23
vice,vice,NOUN,23
visite,visite,NOUN,23
véritable,véritable,ADJ,23
âge,âge,NOUN,23
égal,égal,ADJ,23
énorme,énorme,ADJ,23
étage,étage,NOUN,23
Scott,Scott,PROPN,22
actuel,actuel,ADJ,22
admettre,admettre,VERB,22
assir,assir,VERB,22
banquier,banquier,NOUN,22
choisir,choisir,VERB,22
ciel,ciel,NOUN,22
craître,craître,VERB,22
emporter,emporter,VERB,22
exciter,exciter,VERB,22
fabrication,fabrication,NOUN,22
fenêtre,fenêtre,NOUN,22
finesse,finesse,NOUN,22
intérieur,intérieur,ADJ,22
inutile,inutile,ADJ,22
malade,malade,ADJ,22
opposition,opposition,NOUN,22
page,page,NOUN,22
perte,perte,NOUN,22
pharmacien,pharmacien,NOUN,22
poème,poème,NOUN,22
procurer,procurer,VERB,22
prêt,prêt,ADJ,22
réunir,réunir,VERB,22
révolution,révolution,NOUN,22
saint,saint,ADJ,22
signe,signe,NOUN,22
système,système,NOUN,22
tenter,tenter,VERB,22
terminer,terminer,VERB,22
tort,tort,NOUN,22
trait,trait,NOUN,22
travers,travers,NOUN,22
triste,triste,ADJ,22
vengeance,vengeance,NOUN,22
volume,volume,NOUN,22
éclat,éclat,NOUN,22
éloge,éloge,NOUN,22
Fulgence,Fulgence,PROPN,21
Léon,Léon,PROPN,21
Walter,Walter,PROPN,21
annonce,annonce,NOUN,21
art,art,NOUN,21
attirer,attirer,VERB,21
capable,capable,ADJ,21
complet,complet,ADJ,21
coulisse,coulisse,NOUN,21
doigt,doigt,NOUN,21
fermer,fermer,VERB,21
industrie,industrie,NOUN,21
inviter,inviter,VERB,21
linge,linge,NOUN,21
loger,loger,VERB,21
loyer,loyer,NOUN,21
mur,mur,NOUN,21
méchant,méchant,ADJ,21
observation,observation,NOUN,21
occasion,occasion,NOUN,21
original,original,ADJ,21
pauvrer,pauvrer,ADJ,21
physionomie,physionomie,NOUN,21
produit,produit,NOUN,21
proposition,proposition,NOUN,21
propriété,propriété,NOUN,21
prétention,prétention,NOUN,21
situer,situer,VERB,21
subir,subir,VERB,21
touches,touches,PROPN,21
usage,usage,NOUN,21
utile,utile,ADJ,21
Cachan,Cachan,PROPN,20
Sixte,Sixte,PROPN,20
affection,affection,NOUN,20
affiche,affiche,NOUN,20
affreux,affreux,ADJ,20
allée,allée,NOUN,20
artiste,artiste,NOUN,20
bouche,bouche,NOUN,20
calèche,calèche,NOUN,20
capital,capital,NOUN,20
caresser,caresser,VERB,20
chemise,chemise,NOUN,20
comparer,comparer,VERB,20
conseiller,conseiller,VERB,20
costume,costume,NOUN,20
couper,couper,VERB,20
couvert,couvert,NOUN,20
danger,danger,NOUN,20
dangereux,dangereux,ADJ,20
démarche,démarche,NOUN,20
désirer,désirer,VERB,20
emmener,emmener,VERB,20
empresser,empresser,VERB,20
exemple,exemple,NOUN,20
exploitation,exploitation,NOUN,20
extraordinaire,extraordinaire,ADJ,20
fou,fou,ADJ,20
garde,garde,NOUN,20
gris,gris,ADJ,20
gymnase,gymnase,PROPN,20
hauteur,hauteur,NOUN,20
honte,honte,NOUN,20
inquiet,inquiet,ADJ,20
intention,intention,NOUN,20
jaloux,jaloux,ADJ,20
maintenir,maintenir,VERB,20
marche,marche,NOUN,20
matériel,matériel,NOUN,20
moquer,moquer,VERB,20
piquer,piquer,VERB,20
plupart,plupart,NOUN,20
prier,prier,VERB,20
procédé,procédé,NOUN,20
protection,protection,NOUN,20
prétexte,prétexte,NOUN,20
réflexion,réflexion,NOUN,20
soie,soie,NOUN,20
soldat,soldat,NOUN,20
style,style,NOUN,20
terme,terme,NOUN,20
traité,traité,NOUN,20
unique,unique,ADJ,20
violent,violent,ADJ,20
éducation,éducation,NOUN,20
Claude,Claude,PROPN,19
Giraud,Giraud,PROPN,19
Giroudeau,Giroudeau,PROPN,19
anglais,anglais,ADJ,19
apparence,apparence,NOUN,19
archer,archer,PROPN,19
arme,arme,NOUN,19
arranger,arranger,VERB,19
avance,avance,NOUN,19
bizarre,bizarre,ADJ,19
commun,commun,ADJ,19
confiance,confiance,NOUN,19
contenir,contenir,VERB,19
couronne,couronne,NOUN,19
cravate,cravate,NOUN,19
débat,débat,NOUN,19
décider,décider,VERB,19
département,département,NOUN,19
encre,encre,NOUN,19
entraîner,entraîner,VERB,19
estime,estime,NOUN,19
fatiguer,fatiguer,VERB,19
faubourg,faubourg,NOUN,19
généreux,généreux,ADJ,19
illusion,illusion,NOUN,19
inspirer,inspirer,VERB,19
mademoisel,mademoisel,NOUN,19
médecin,médecin,NOUN,19
mémoire,mémoire,NOUN,19
pistolet,pistolet,NOUN,19
poir,poir,VERB,19
preuve,preuve,NOUN,19
protecteur,protecteur,NOUN,19
relever,relever,VERB,19
ridicule,ridicule,NOUN,19
rédaction,rédaction,NOUN,19
résultat,résultat,NOUN,19
soupçonner,soupçonner,VERB,19
supériorité,supériorité,NOUN,19
tailleur,tailleur,NOUN,19
toucher,toucher,VERB,19
volonté,volonté,NOUN,19
émotion,émotion,NOUN,19
étoffe,étoffe,NOUN,19
étonnement,étonnement,NOUN,19
Beaulieu,Beaulieu,PROPN,18
Galeries-de-Bois,Galeries-de-Bois,PROPN,18
Montcornet,Montcornet,PROPN,18
Opéra,Opéra,PROPN,18
alcade,alcade,NOUN,18
ardeur,ardeur,NOUN,18
boire,boire,VERB,18
bâtir,bâtir,VERB,18
